Line #,Key,en Version,ka Version
298,ka.mongoid.hints.time_series_weight.is_default,"If selected, this will be the weight that is applied to all questions during analysis by default if no weight is indicated","მონიშვნის შემთხვევაში ეს შეწონვა მიემართება ყველა შეკითხვას ანალიზის დროს, თუ შეწონვა არ იქნება მითითებული"
299,ka.mongoid.hints.time_series_weight.applies_to_all,"If selected, all questions will be assigned to this weight",მონიშვნის შემთხვევაში ყველა შეკითხვას მიენიჭება ეს შეწონვა
300,ka.mongoid.hints.time_series_weight.codes,Select the questions that you want to have this weight applied to,"მონიშნეთ შეკითხვები, რომელთაც გინდათ მიანიჭოთ ეს შეწონვა"
301,ka.mongoid.hints.time_series_weight_assignment.code_unique_id,Select the question from each dataset that contains the unique ID of the responders. This ID will be used to assign the weight to the correct responses in each dataset.,"მონიშნეთ შეკითხვა მონაცემებიდან, რომელიც შეიცავს მოპასუხეთა უნიკალურ ID-ს. ID გამოყენებულ იქნება მონაცემებში სწორი პასუხებისთვის შეწონვის გასაკეთებლად. "
302,ka.mongoid.hints.time_series_dataset_question.text,"Only questions from the dataset that are not already assigned to this time series will be shown. When you select a new question, the list of answers for this dataset below will automatically change.","მონაცემებიდან მხოლოდ ის შეკითხვები იქნება ნაჩვენები, რომლებიც არ არიან მიკუთვნებულნი ამ პერიოდულ შედარებას. როდესაც ირჩევთ ახალ შეკითხვას, ამ მონაცემების პასუხების ჩამონათვალი ავტომატურად შეიცვლება."
303,ka.mongoid.hints.time_series_dataset_question.notes,Any special notes about the question,სპეციფიკური შენიშვნა შეკითხვასთან დაკავშირებით
304,ka.mongoid.hints.time_series_answer.value,The value of the answer,პასუხის მნიშვნელობა
305,ka.mongoid.hints.time_series_answer.text,The text of the answer,პასუხის ტექსტი
306,ka.mongoid.hints.time_series_answer.can_exclude,"If selected, this answer will be available during analysis, but can be turned off if desired by the user.","მონიშვნის შემთხვევაში ეს პასუხი ხელმისაწვდომი იქნება ანალიზის დროს, მაგრამ შესაძლებელი იქნება მისი გამორთვა მომხმარებლის სურვილის შემთხვევაში."
307,ka.mongoid.hints.time_series_answer.sort_order,The order the answers should appear,პასუხების გამოჩენის თანმიმდევრობა
308,ka.mongoid.hints.time_series_answer.default_text,This is the answer text from the default language which is provided to make it easier to complete the translation,"ეს არის პასუხის ტექსტი მთავარი ენიდან, რომელიც მოწოდებულია რათა თარგმანის გასაადვილებლად"
309,ka.mongoid.hints.time_series_answer.dataset,The possible answers for the question selected from this dataset,ამ მონაცემებიდან აღებული შეკითხვის  სავარაუდო პასუხები
310,ka.mongoid.hints.page_content.name,Unique name for content (do not change!),კონტენტის უნიკალური სახელი (არ შეცვალოთ!)
311,ka.mongoid.hints.page_content.title,Title to show above content,"სათაური, რომელიც გამოჩნდება კონტენტის ზემოთ"
312,ka.mongoid.hints.page_content.content,Content to be shown on page,გვერდზე გამოსაჩენი კონტენტი
313,ka.mongoid.hints.api_version.permalink,"Abbreviated Name Used in URL (e.g., v1)","URL-ში გამოყენებული აბრევიატურა (მაგ., v1)"
314,ka.mongoid.hints.api_version.title,Title of the API Version,API ვერსიის სახელწოდება
315,ka.mongoid.hints.api_version.public,Select 'Yes' to make the API Version documentation available to the world,"მონიშნეთ 'დიახ', რათა API ვერსია საჯაროდ ხელმისაწვდომი გახდეს "
316,ka.mongoid.hints.api_method.permalink,"Abbreviated Name Used in URL (e.g., v1)","URL-ში გამოყენებული აბრევიატურა (მაგ., v1)"
317,ka.mongoid.hints.api_method.title,Title of API Method,API მეთოდის სახელწოდება
318,ka.mongoid.hints.api_method.content,Explanation of how to use the API Method,API მეთოდის გამოყენების ახსნა
319,ka.mongoid.hints.api_method.public,Select 'Yes' to make the API Method documentation available to the world,მონიშნეთ 'დიახ' API მეთოდის დოკუმენტაციის საქვეყნოდ ხელმისაწვდომობისთვის
320,ka.mongoid.hints.api_method.sort_order,The order the API methods should appear,API მეთოდის გამოჩენის თანმიმდევრობა
321,ka.mongoid.hints.category.name,Name of category,კატეგორიის სახელი
322,ka.mongoid.hints.category.permalink,This text needs to match the name of the icon image file,ეს ტექსტი უნდა იყოს გამოსახულების სახელის იდენტური
323,ka.mongoid.hints.category.sort_order,The order the categories should appear,კატეგორიების გამოჩენის თანმიმდევრობა
324,ka.errors.messages.required_field,is a required field.,სავალდებულო ველი
325,ka.errors.messages.already_exists,already exists in the database.,უკვე არსებობს მონაცემთა ბაზაში
326,ka.errors.messages.translation_default_lang,%{field_name} for Default Language '%{language}' %{msg},%{field_name} ძირითადი ენისთვის '%{language}' %{msg}
327,ka.errors.messages.translation_any_lang,%{field_name} for Language '%{language}' %{msg},%{field_name} ენისთვის '%{language}' %{msg}
328,ka.errors.messages.invalid_language,%{lang_locale}' is not a valid language locale,%{lang_locale}' არ არის ვალიდური ენა
329,ka.errors.messages.dataset_length,At least two datasets are needed for a time series to be saved.,პერიოდული შედარების შესანახად სულ მცირე მონაცემთა ორი ცხრილია საჭირო
330,ka.errors.messages.missing_questions,At least one questions must be selected for a group to be saved.,ჯგუფის შესანახად სულ მცირე ერთი შეკითხვა უნდა იყოს არჩეული
331,ka.mass_uploads_msgs.bad_headers,The headers in the file do not match the headers from the template so it is not possible to determine what each column of data is. Please download the question template file and use the headers from that file.,"ფაილში სვეტების სახელები არ ემთხვევა ნიმუშის სვეტების სახელებს. გთხოვთ, ჩამოტვირთეთ შეკითხვის ნიმუშის ფაილი და გამოიყენეთ მისი სვეტების სახელები. "
332,ka.mass_uploads_msgs.missing_code,Row %{n}: Could not find question with code '%{code}',რიგი %{n}: ამ კოდით შეკითხვა არ მოიძებნა '%{code}'
333,ka.mass_uploads_msgs.questions.not_save,Row %{n}: Could not save question: %{msg},რიგი %{n}: შეკითხვის შენახვა შეუძლებელია: %{msg}
334,ka.mass_uploads_msgs.answers.missing_answer,Row %{n}: Could not find answer with value '%{value}' for question with code '%{code}',რიგი %{n}: პასუხის მნიშვნელობის მოძებნა შეუძლებელია '%{value}' შეკითხვისთვის ამ კოდით '%{code}'
335,ka.mass_uploads_msgs.answers.not_save,Row %{n}: Could not save answer: %{msg},რიგი %{n}: პასუხის შენახვა შეუძლებელია: %{msg}
336,ka.publish_status.public,Public,საჯარო
337,ka.publish_status.private,Private,კერძო
338,ka.tabbed_translation_form.default_text,Default Text,ძირითადი ტექსტი
339,ka.tabbed_translation_form.default_url,Default URL,ძირითადი URL
340,ka.explore_time_series.v2.na,N/A,არ არის ხელმისაწვდომი
341,ka.explore_time_series.v2.percent,Percent (%),პროცენტი (%)
342,ka.explore_time_series.v2.group.html.title,<span class='group-highlight'>%{text}</span>,<span class='group-highlight'>%{text}</span>
343,ka.explore_time_series.v2.group.text.title,%{text},%{text}
344,ka.explore_time_series.v2.subgroup.html.title,<span class='subgroup-highlight'>%{text}</span>,<span class='subgroup-highlight'>%{text}</span>
345,ka.explore_time_series.v2.subgroup.text.title,%{text},%{text}
346,ka.explore_time_series.v2.single.html.title,<span class='code-highlight'>%{code}</span> - %{group}%{variable}',<span class='code-highlight'>%{code}</span> - %{group}%{variable}'
347,ka.explore_time_series.v2.single.html.title_filter,<br /> <span class='title-highlight'>filtered by:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{group}%{variable}',<br /> <span class='title-highlight'>გაფილტრულია:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{group}%{variable}'-ის მიხედვით
348,ka.explore_time_series.v2.single.html.title_filter_value,<br /> <span class='title-highlight'>filtered by:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{group}%{variable} = <span class='code-highlight'>%{value}</span>',<br /> <span class='title-highlight'>გაფილტრულია:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{group}%{variable} = <span class='code-highlight'>%{value}</span>'-ის მიხედვით
349,ka.explore_time_series.v2.single.text.title,%{code} - %{group} %{variable}',%{code} - %{group} %{variable}'
350,ka.explore_time_series.v2.single.text.title_filter,", filtered by: '%{code} - %{group} %{variable}'",", გაფილტრულია: '%{code} - %{variable}'-ის მიხედვით"
351,ka.explore_time_series.v2.single.text.title_filter_value,", filtered by: '%{code} - %{group} %{variable} = %{value}'",", გაფილტრულია: '%{code} - %{group} %{variable} = %{value}'-ის მიხედვით"
352,ka.explore_time_series.v2.subtitle.html.title,Total Responses: <br />%{x_of_y},პასუხების ჯამური რაოდენობა: <br />%{x_of_y}
353,ka.explore_time_series.v2.subtitle.html.title_x_of_y,%{dataset}: <span class='number'>%{num}</span> out of %{total},%{dataset}: <span class='number'>%{num}</span> %{total}-დან
354,ka.explore_time_series.v2.subtitle.html.title_filter,Total Responses <br />(out of a possible: %{totals}): <br />%{nums},პასუხების ჯამური რაოდენობა <br />(%{totals} შესაძლებლიდან): <br />%{nums}
355,ka.explore_time_series.v2.subtitle.html.title_weighted,Unweighted Total Responses<span class='footnote-flag'>*</span>: <br />%{x_of_y},შეუწონელი პასუხების ჯამური რაოდენობა<span class='footnote-flag'>*</span>: <br />%{x_of_y}
356,ka.explore_time_series.v2.subtitle.html.title_filter_weighted,Unweighted Total Responses<span class='footnote-flag'>*</span> <br />(out of a possible: %{totals}): <br />%{nums},შეუწონელი პასუხების ჯამური რაოდენობა<span class='footnote-flag'>*</span> <br />(%{totals} შესაძლებლიდან): <br />%{nums}
357,ka.explore_time_series.v2.subtitle.text.title,Total Responses: %{x_of_y},პასუხების ჯამური რაოდენობა: %{x_of_y}
358,ka.explore_time_series.v2.subtitle.text.title_x_of_y,%{dataset}: %{num} out of %{total},%{dataset}: %{num} %{total}-დან
359,ka.explore_time_series.v2.subtitle.text.title_filter,Total Responses: %{nums},პასუხების ჯამური რაოდენობა: %{nums}
360,ka.explore_time_series.v2.subtitle.text.title_weighted,Unweighted Total Responses*: %{x_of_y},შეუწონელი პასუხების ჯამური რაოდენობა*: %{x_of_y}
361,ka.explore_time_series.v2.subtitle.text.title_filter_weighted,Unweighted Total Responses* (out of a possible: %{totals}): %{nums},შეუწონელი პასუხების ჯამური რაოდენობა* (%{totals} შესაძლებლიდან): %{nums}
362,ka.explore_data.v2.hover_region,Hover over a Region,მიიტანეთ კურსორი რეგიონზე
363,ka.explore_data.v2.na,N/A,არ არის ხელმისაწვდომი
364,ka.explore_data.v2.percent,Percent,პროცენტი
365,ka.explore_data.v2.group.html.title,<span class='group-highlight'>%{text}</span>,<span class='group-highlight'>%{text}</span>
366,ka.explore_data.v2.group.text.title,%{text},%{text}
367,ka.explore_data.v2.subgroup.html.title,<span class='subgroup-highlight'>%{text}</span>,<span class='subgroup-highlight'>%{text}</span>
368,ka.explore_data.v2.subgroup.text.title,%{text},%{text}
369,ka.explore_data.v2.comparative.html.title,<span class='code-highlight'>%{question_code}</span> - %{group}%{variable}' <br /> <span class='title-highlight'>broken down by:</span> <br /> '<span class='code-highlight'>%{broken_down_by_code}</span> - %{group2}%{broken_down_by}',<span class='code-highlight'>%{question_code}</span> - %{variable}' <br /> <span class='title-highlight'>ჩაშლილია:</span> <br /> '<span class='code-highlight'>%{broken_down_by_code}</span> - %{broken_down_by}'
370,ka.explore_data.v2.comparative.html.title_filter,<br /> <span class='title-highlight'>filtered by:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{group}%{variable}',<br /> <span class='title-highlight'>გაფილტრულია:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{variable}'-ის მიხედვით
371,ka.explore_data.v2.comparative.html.title_filter_value,<br /> <span class='title-highlight'>filtered by:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{group}%{variable} = <span class='code-highlight'>%{value}</span>',<br /> <span class='title-highlight'>გაფილტრულია:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{variable} = <span class='code-highlight'>%{value}</span>'-ის მიხედვით
372,ka.explore_data.v2.comparative.html.map.title,<span class='code-highlight'>%{code}</span> - %{group}%{variable}',<span class='code-highlight'>%{code}</span> - %{variable}'
373,ka.explore_data.v2.comparative.html.map.title_broken_down_by,<br /> <span class='title-highlight'>broken down by:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{group}%{broken_down_by} = <span class='code-highlight'>%{broken_down_by_answer}</span>',<br /> <span class='title-highlight'>ჩაშლილია:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{broken_down_by} = <span class=”code-highlight”>%{broken_down_by_answer}</span>'-ის მიხედვით
374,ka.explore_data.v2.comparative.html.map.title_filter,<br /> <span class='title-highlight'>filtered by:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{group}%{variable}',<br /> <span class='title-highlight'>გაფილტრულია:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{variable}'-ის მიხედვით
375,ka.explore_data.v2.comparative.html.map.title_filter_value,<br /> <span class='title-highlight'>filtered by:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{group}%{variable} = <span class='code-highlight'>%{value}</span>',<br /> <span class='title-highlight'>გაფილტრულია:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{variable} = <span class='code-highlight'>%{value}</span>'-ის მიხედვით
376,ka.explore_data.v2.comparative.text.title,"%{question_code} - %{group} %{variable}', broken down by: '%{broken_down_by_code} - %{group2} %{broken_down_by}'","%{question_code} - %{variable}', ჩაშლილია: '%{broken_down_by_code} - %{broken_down_by}'-ის მიხედვით"
377,ka.explore_data.v2.comparative.text.title_filter,", filtered by: '%{code} - %{group} %{variable}'",", გაფილტრულია: '%{code} - %{variable}'-ის მიხედვით"
378,ka.explore_data.v2.comparative.text.title_filter_value,", filtered by: '%{code} - %{group} %{variable} = %{value}'",", გაფილტრულია: '%{code} - %{variable} = %{value}'-ის მიხედვით"
379,ka.explore_data.v2.comparative.text.map.title,%{code} - %{group} %{variable}',%{code} - %{variable}'
380,ka.explore_data.v2.comparative.text.map.title_broken_down_by,broken down by: '%{code} - %{group} %{broken_down_by} = %{broken_down_by_answer}',ჩაშლილია: '%{code} - %{broken_down_by} = %{broken_down_by_answer}'
381,ka.explore_data.v2.comparative.text.map.title_filter,", filtered by: '%{code} - %{group} %{variable}'",", გაფილტრულია: '%{code} - %{variable}'-ის მიხედვით"
382,ka.explore_data.v2.comparative.text.map.title_filter_value,", filtered by: '%{code} - %{group} %{variable} = %{value}'",", გაფილტრულია: '%{code} - %{variable} = %{value}'-ის მიხედვით"
383,ka.explore_data.v2.single.html.title,<span class='code-highlight'>%{code}</span> - %{group}%{variable}',<span class='code-highlight'>%{code}</span> - %{variable}'
384,ka.explore_data.v2.single.html.title_filter,<br /> <span class='title-highlight'>filtered by:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{group}%{variable}',<br /> <span class='title-highlight'>გაფილტრულია:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{variable}'-ის მიხედვით
385,ka.explore_data.v2.single.html.title_filter_value,<br /> <span class='title-highlight'>filtered by:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{group}%{variable} = <span class='code-highlight'>%{value}</span>',<br /> <span class='title-highlight'>გაფილტრულია:</span> <br /> '<span class='code-highlight'>%{code}</span> - %{variable} = <span class='code-highlight'>%{value}</span>'-ის მიხედვით
386,ka.explore_data.v2.single.text.title,%{code} - %{group} %{variable}',%{code} - %{variable}'
387,ka.explore_data.v2.single.text.title_filter,", filtered by: '%{code} - %{group} %{variable}'",", გაფილტრულია: '%{code} - %{variable}'-ის მიხედვით"
388,ka.explore_data.v2.single.text.title_filter_value,", filtered by: '%{code} - %{group} %{variable} = %{value}'",", გაფილტრულია: '%{code} - %{variable} = %{value}'-ის მიხედვით"
389,ka.explore_data.v2.subtitle.html.title,Total Responses: <span class='number'>%{num}</span> out of %{total},პასუხების ჯამური რაოდენობა: <span class='number'>%{num}</span>  %{total}-იდან
390,ka.explore_data.v2.subtitle.html.title_filter,Total Responses out of %{total}: <br />%{nums},პასუხების ჯამური რაოდენობა %{total}-იდან: <br />%{nums}
391,ka.explore_data.v2.subtitle.html.title_weighted,Unweighted Total Responses<span class='footnote-flag'>*</span>: <span class='number'>%{num}</span> out of %{total},შესწორებების ცხრილი
392,ka.explore_data.v2.subtitle.html.title_filter_weighted,Unweighted Total Responses out of %{total}<span class='footnote-flag'>*</span>: <br />%{nums},შეუწონელი პასუხების ჯამური რაოდენობა %{total}-იდან<span class='footnote-flag'>*</span>: <br />%{nums}
393,ka.explore_data.v2.subtitle.text.title,Total Responses: %{num} out of %{total},პასუხების ჯამური რაოდენობა: %{num} %{total}-იდან
394,ka.explore_data.v2.subtitle.text.title_filter,Total Responses out of %{total}: %{nums},პასუხების ჯამური რაოდენობა %{total}-იდან: %{nums}
395,ka.explore_data.v2.subtitle.text.title_weighted,Unweighted Total Responses*: %{num} out of %{total},შეუწონელი პასუხების ჯამური რაოდენობა*: %{num} %{total}-იდან
396,ka.explore_data.v2.subtitle.text.title_filter_weighted,Unweighted Total Responses out of %{total}*: %{nums},შეუწონელი პასუხების ჯამური რაოდენობა %{total}-0იდან*: %{nums}
397,ka.datatable.search,Search,ძებნა
398,ka.datatable.search_footer,Search %{name},Search %{name}
399,ka.datatable.copy.title,Copy,კოპირება
400,ka.datatable.copy.tooltip,Copy to clipboard,კოპირება
401,ka.datatable.csv.title,CSV,CSV
402,ka.datatable.csv.tooltip,Save as CSV,CSV-ში შენახვა
403,ka.datatable.xls.title,XLS,XLS
404,ka.datatable.xls.tooltip,Save as XLS,XLS-ში შენახვა
405,ka.datatable.pdf.title,PDF,PDF
406,ka.datatable.pdf.tooltip,Save as PDF,PDF-ში შენახვა
407,ka.datatable.print.title,Print,ბეჭდვა
408,ka.datatable.print.tooltip,Print the table,ცხრილის ბეჭდვა
409,ka.highcharts.context_title,Save this chart,გრაფიკის შენახვა
410,ka.highcharts.png,PNG Image,PNG სურათი
411,ka.highcharts.jpg,JPG Image,JPG სურათი
412,ka.highcharts.pdf,PDF Document,PDF დოკუმენტი
413,ka.highcharts.svg,SVG Vector Image,SVG ვექტორული სურათი
414,ka.mailer.closing,"Sincerely,","პატივისცემით,"
415,ka.mailer.signature,UNICEF Georgia,Xtraktr-ის გუნდი
416,ka.mailer.unsubscribe,Click here to change your notification settings,დააჭირეთ და შეცვალეთ შეტყობინებების პარამეტრები
417,ka.mailer.notification.new_user.subject,Welcome to UNICEF Georgia Data Portal!,მოგესალმებით Xtraktr-ზე!
418,ka.mailer.notification.new_user.message,"Thank you for creating an account on UNICEF Georgia's open data portal and sharing some information about yourself. It is our hope that the content and data you find adds value to your work and understanding of trends related to the rights of children in Georgia. If you have any questions, you can contact us via our webform or send us an email.","მადლობას გიხდით Xtraktr-ის ღია მონაცემების პორტალზე ანგარიშის გახსნისა და თქვენ შესახებ ინფორმაციის გაზიარებისთვის. კითხვების შემთხვევაში, დაგვიკავშირდით ვებგვერდის ფორმის საშუალებით ან გამოგვიგზავნეთ ელ. ფოსტა. "
419,ka.mailer.notification.new_data.subject,A new dataset has been added to UNICEF Georgia Data Portal!,Xtraktr-ს ახალი მონაცემები დაემატა!
420,ka.mailer.notification.new_data.message,"UNICEF Georgia has just uploaded new data for you to explore, visualize, and share.","Xtraktr-ზე ახალი მონაცემები აიტვირთა. შეგიძლიათ ნახოთ, გააანალიზოთ, ვიზუალურად გამოსახოთ და სხვებსაც გაუზიაროთ.  "
421,ka.mailer.contact.contact_form.subject,UNICEF Georgia Data Portal Contact Form,Xtraktr-ის საკონტაქტო ფორმა
422,ka.helpers.actions,Actions,აირჩიეთ
423,ka.helpers.default_language,This is the default language that will show,"ეს არის მთავარი ენა, რომელიც გამოჩნდება"
424,ka.helpers.search,Search,ძებნა
425,ka.helpers.links.admin,Admin Section,ადმინისტრატორის განყოფილება
426,ka.helpers.links.edit,Edit,შეცვლა
427,ka.helpers.links.confirm,Are you sure?,დარწმუნებული ხართ?
428,ka.helpers.links.destroy,Delete,წაშლა
429,ka.helpers.links.new,New,ახალი
430,ka.helpers.links.list,View All,ყველას ნახვა
431,ka.helpers.links.back,View All,ყველას ნახვა
432,ka.helpers.links.cancel,Cancel,გაუქმება
433,ka.helpers.links.reset,Reset,საწყის კონფიგურაციაზე დაბრუნება
434,ka.helpers.links.view,View,ნახვა
435,ka.helpers.links.save,Save,შენახვა
436,ka.helpers.links.sign_in_facebook,Sign in with Facebook,Facebook-ით შესვლა
437,ka.helpers.links.forgot_password,Forgot Your Password?,დაგავიწყდათ პაროლი?
438,ka.helpers.links.change_password,Change Your Password,პაროლის შეცვლა
439,ka.helpers.links.change_password2,Change Password,პაროლის შეცვლა
440,ka.helpers.links.password_reset,Reset Password,პაროლის აღდგენა
441,ka.helpers.links.sign_in2,Sign In,შესვლა
442,ka.helpers.links.sign_in,Already have an account?,უკვე გაქვთ ანგარიში?
443,ka.helpers.links.sign_up2,Sign Up,რეგისტრაცია
444,ka.helpers.links.sign_up_question,Not registered?,არ გაქვთ ანგარიში?
445,ka.helpers.links.sign_up,Create Account,დარეგისტრირდით
446,ka.helpers.links.sign_up_title,Join %{app_name},შემოგვიერთდი “%{app_name}”
447,ka.helpers.links.sign_out,Sign Out,გასვლა
448,ka.helpers.links.sign_in_provider,Sign in with %{provider},შესვლა %{provider}-ით
449,ka.helpers.links.sign_up_provider,Sign up with %{provider},დარეგისტრირდით %{provider}-ით
450,ka.helpers.links.sign_in_local_or_provider,or log in with your email and password,ან შეიყვანეთ თქვენი ელ. ფოსტა და პაროლი
451,ka.helpers.links.reset_or_sign_in,sign in with facebook or reset your password,შედით facebook-ით ან შეცვალეთ პაროლი
452,ka.helpers.links.explanation,We are excited you are interested in our data. We would like to know a bit about who you are. Please complete our form to continue downloading this dataset.,"მოხარულნი ვართ, რომ დაინტერესდით ჩვენი მონაცემებით. ჩვენ გვსურს გავიგოთ მეტი თქვენ შესახებ. მონაცემთა ჩამოსატვირთად, გთხოვთ შეავსოთ ჩვენი ფორმა."
453,ka.helpers.links.download_and_sign_up,Download & Create Account,ჩამოტვირთვა და ანგარიშის გახსნა
454,ka.helpers.links.like,Like,მოწონება
455,ka.helpers.links.likes,Likes,მოწონება
456,ka.helpers.links.menu,Menu,მენიუ
457,ka.helpers.links.close,Close,დახურვა
458,ka.helpers.links.select_all,Select All,ყველას მონიშვნა
459,ka.helpers.links.select_none,Select None,მონიშვნის მოხსნა
460,ka.helpers.links.make_mappable,Make Mappable,გავხადოთ რუკაზე დატანადი
461,ka.helpers.links.add_question_text,Add Question Text,შეკითხვის ტექსტის დამატება
462,ka.helpers.links.add_answer,Add Answer,პასუხის დამატება
463,ka.helpers.links.add_answers,Add Answers,პასუხების დამატება
464,ka.helpers.links.edit_answers,Edit Answers,პასუხების შესწორება
465,ka.helpers.links.download,Download,ჩამოტვირთვა
466,ka.helpers.links.view_data,View Data,მონაცემების ნახვა
467,ka.helpers.links.add_dataset,Add Dataset,მონაცემების დამატება
468,ka.helpers.links.remove_dataset,Remove Dataset,მონაცემთა ცხრილის წაშლა
469,ka.helpers.links.add_report,Add Report,ანგარიშის დამატება
470,ka.helpers.links.remove_report,Remove Report,ანგარიშის წაშლა
471,ka.helpers.links.download_data,Download Data,მონაცემების ჩამოტვირთვა
472,ka.helpers.links.back_dashboard,Back to Dashboard,მონაცემების მთავარ გვერდზე დაბრუნება
473,ka.helpers.links.api_home,API Home,API-ის საწყისი გვერდი
474,ka.helpers.links.agreement,Agreement,შეთანხმება
475,ka.helpers.links.add_highlight,Add to highlights,რჩეულებში დამატება
476,ka.helpers.links.delete_highlight,Remove from highlights,რჩეული ფაქტებიდან წაშლა
477,ka.helpers.links.description_highlight,Edit the description of the highlight,რჩეული ინფორმაციის აღწერის რედაქტირება
478,ka.helpers.links.highlight_description_chart,Chart Description,დიაგრამის აღწერა
479,ka.helpers.links.embed_chart,Embed Chart,დიაგრამის ჩასმა
480,ka.helpers.links.embed_chart_prompt,Copy and paste this embed code into your web page:,დააკოპირეთ და ჩასვით ეს კოდი თქვენს საიტზე:
481,ka.helpers.links.embed_chart_wide,px wide,px ფართო
482,ka.helpers.links.embed_chart_high,px high,px მაღალი
483,ka.helpers.links.highlight_description,Chart Description,დიაგრამის აღწერა
484,ka.helpers.links.edit_description,Edit Description,აღწერის რედაქტირება
485,ka.helpers.links.view_group_items,View Items in This Group,ამ ჯგუფში შემავალი ერთეულების ნახვა
486,ka.helpers.links.assign_weight,Assign Weight,მიაკუთვნეთ შეწონვა
487,ka.helpers.titles.edit,Edit %{model},შეცვლა %{model}
488,ka.helpers.titles.save,Save %{model},შენახვა %{model}
489,ka.helpers.titles.new,New %{model},ახალი %{model}
490,ka.helpers.titles.delete,Delete %{model},წაშლა %{model}
491,ka.app.language.en,English,English
492,ka.app.language.ka,ქართული,ქართული
493,ka.app.buttons.back,View All,ყველას ნახვა
494,ka.app.buttons.list,View All,ყველას ნახვა
495,ka.app.buttons.admin,Admin Section,ადმინისტრატორის განყოფილება
496,ka.app.buttons.delete,Delete,წაშლა
497,ka.app.buttons.edit,Edit,შეცვლა
498,ka.app.buttons.show,Show,ჩვენება
499,ka.app.buttons.cancel,Cancel,გაუქმება
500,ka.app.buttons.update,Update,განახლება
501,ka.app.buttons.save,Save,შენახვა
502,ka.app.buttons.create,Create,შექმნა
503,ka.app.buttons.reset,Reset,საწყის კონფიგურაციაზე დაბრუნება
504,ka.app.buttons.remove,Remove,ამოშლა
505,ka.app.buttons.confirm,Are you sure?,დარწმუნებული ხართ?
506,ka.app.buttons.new,New,ახალი
507,ka.app.buttons.save_settings,Save Settings,პარამეტრების შენახვა
508,ka.app.buttons.choose_category,<span>Choose </span>Category,კატეგორიის არჩევა
509,ka.app.buttons.change_category,Change Category,კატეგორიის შეცვლა
510,ka.app.buttons.categories,Categories,კატეგორიები
511,ka.app.buttons.category,Category,კატეგორია
512,ka.app.common.xtraktr.app_name,Xtraktr,Xtraktr
513,ka.app.common.xtraktr.app_slogan,Insert xtraktr slogn here!,"მოძებნეთ, გაუზიარეთ, გააანალიზეთ და ვიზუალურად გამოსახეთ თქვენი მონაცემები"
514,ka.app.common.xtraktr.app_description,Insert xtraktr description here.,"აქ შეგიძლიათ მოიძიოთ მონაცემები სხვადასხვა საკითხის შესახებ. ასევე, შეგიძლიათ  გაუზიაროთ თქვენი მონაცემები სხვებს. Xtraktr საშუალებას გაძლევთ, თქვენი მონაცემები დაიტანოთ რუკაზე, რათა სხვებმა იპოვონ და გამოიყენონ. გააანალიზეთ, ვიზუალურად გამოსახეთ, ჩასვით ვებგვერდზე და გაუზიარეთ სხვებს თქვენი მიგნებები. ასევე, Xtraktr-ის გამოყენებით, შეგიძლიათ მარტივად თარგმნოთ ინფორმაცია სხვადასხვა ენაზე. გახადეთ თქვენი მონაცემები მარტივად ხელმისაწვდომი მსოფლიოსთვის."
515,ka.app.common.unicef.app_name,UNICEF Georgia Data Portal,გაეროს ბავშვთა ფონდის მონაცემთა პორტალი
516,ka.app.common.unicef.app_slogan,Helping to solve by measuring,ვეხმარებით კვლევით
517,ka.app.common.unicef.app_description,"In collaboration with a wide range of partners, UNICEF Georgia gathers evidence on the situation of children in Georgia. It uses this knowledge to inform national and global decision-making with the objective of improving children’s well-being.","გაეროს ბავშვთა ფონდის საქართველოს წარმომადგენლობა პარტნიორებთან ერთად აგროვებს მონაცემებს საქართველოში ბავშვთა მდგომარეობის შესახებ. ამ ცოდნას ის იყენებს ეროვნული და გლობალური გადაწყვეტილებების მიმღებთა ინფორმირებისათვის, რათა, საბოლოო ჯამში, გაუმჯობესდეს ბავშვთა კეთილდღეობა საქართველოში."
518,ka.app.common.added_on,Added on: %{date},დამატებულია: %{date}
519,ka.app.common.jumpstart,JumpStart Georgia,“ჯამპსტარტ ჯორჯია”
520,ka.app.common.js_link_title,JumpStart Georgia - We communicate data better!,“ჯამპსტარტ ჯორჯია” - ჩვენ გაწვდით მონაცემებს უკეთ!
521,ka.app.common.question,Question,შეკითხვა
522,ka.app.common.questions,Questions,შეკითხვები
523,ka.app.common.question_code,Code,კოდი
